Parameter Z: CS3 Location ( 52, 86) Lat 53.500 Lon -3.417
  0.18  0.08 -0.05 -0.15 -0.18 -0.17 -0.15 -0.15 -0.16 -0.19 -0.20 -0.19 01012000 00
 -0.18 -0.14 -0.09 -0.02 -0.01 -0.02 -0.04 -0.04 -0.02 -0.00 -0.00  0.00 01012000 12
  0.03  0.05  0.06  0.05  0.05  0.07  0.07  0.07  0.06  0.05  0.00 -0.04 02012000 00
 -0.09 -0.11 -0.12 -0.14 -0.16 -0.19 -0.18 -0.14 -0.09 -0.03  0.07  0.17 02012000 12
  0.29  0.36  0.41  0.54  0.67  0.76  0.74  0.66  0.52  0.38  0.26  0.14 03012000 00
  0.05  0.02  0.06  0.00 -0.08 -0.10 -0.11 -0.13 -0.07 -0.05 -0.02  0.02 03012000 12
  0.00 -0.02 -0.01 -0.00  0.01  0.01  0.01  0.01  0.04  0.08  0.14  0.23 04012000 00
  0.33  0.45  0.55  0.61  0.61  0.54  0.46  0.41  0.32  0.30  0.21  0.16 04012000 12
  0.12  0.06 -0.00  0.01  0.00  0.01  0.11  0.22  0.26  0.27  0.29  0.36 05012000 00
  0.47  0.58  0.62  0.63  0.60  0.62  0.68  0.76  0.75  0.72  0.67  0.60 05012000 12
  0.57  0.57  0.49  0.51  0.53  0.50  0.50  0.57  0.53  0.42  0.39  0.28 06012000 00
  0.19  0.13  0.06  0.03  0.03 -0.05 -0.14 -0.19 -0.22 -0.21 -0.17 -0.13 06012000 12
 -0.06  0.04  0.11  0.18  0.24  0.35  0.44  0.53  0.53  0.49  0.47  0.46 07012000 00
  0.48  0.53  0.59  0.55  0.58  0.59  0.59  0.60  0.66  0.64  0.59  0.52 07012000 12
  0.37  0.32  0.34  0.27  0.25  0.27  0.26  0.26  0.31  0.27  0.22  0.25 08012000 00
  0.23  0.25  0.28  0.25  0.21  0.24  0.23  0.17  0.10  0.03  0.02  0.03 08012000 12
  0.04  0.05  0.05  0.02  0.02  0.02  0.03  0.03  0.01  0.00 -0.01 -0.02 09012000 00
 -0.03 -0.03 -0.05 -0.08 -0.11 -0.13 -0.14 -0.15 -0.17 -0.19 -0.18 -0.21 09012000 12
 -0.19 -0.15 -0.15 -0.14 -0.12 -0.11 -0.11 -0.08 -0.02  0.04  0.07  0.09 10012000 00
  0.10  0.13  0.17  0.23  0.25  0.23  0.20  0.17  0.12  0.09  0.05 -0.01 10012000 12
 -0.04 -0.07 -0.10 -0.09 -0.11 -0.11 -0.11 -0.10 -0.09 -0.07 -0.04 -0.03 11012000 00
 -0.02  0.00  0.03  0.07  0.09  0.11  0.11  0.14  0.21  0.31  0.38  0.33 11012000 12
  0.27  0.24  0.17  0.18  0.22  0.23  0.17  0.18  0.16  0.11  0.09  0.09 12012000 00
  0.07  0.07  0.05  0.03  0.04  0.08  0.07  0.06  0.04  0.02 -0.02 -0.05 12012000 12
 -0.09 -0.11 -0.11 -0.13 -0.14 -0.14 -0.10 -0.07 -0.07 -0.07 -0.06 -0.06 13012000 00
 -0.08 -0.09 -0.10 -0.11 -0.12 -0.15 -0.18 -0.18 -0.21 -0.25 -0.27 -0.30 13012000 12
 -0.32 -0.33 -0.35 -0.36 -0.34 -0.33 -0.35 -0.35 -0.33 -0.34 -0.36 -0.38 14012000 00
 -0.41 -0.37 -0.33 -0.33 -0.32 -0.36 -0.40 -0.41 -0.38 -0.41 -0.42 -0.39 14012000 12
 -0.42 -0.47 -0.49 -0.50 -0.45 -0.39 -0.42 -0.45 -0.43 -0.39 -0.40 -0.38 15012000 00
 -0.34 -0.38 -0.40 -0.39 -0.40 -0.37 -0.35 -0.35 -0.38 -0.34 -0.35 -0.33 15012000 12
 -0.29 -0.31 -0.36 -0.36 -0.33 -0.32 -0.29 -0.29 -0.30 -0.30 -0.27 -0.30 16012000 00
 -0.30 -0.27 -0.31 -0.35 -0.34 -0.34 -0.32 -0.33 -0.33 -0.33 -0.29 -0.30 16012000 12
 -0.30 -0.29 -0.29 -0.33 -0.32 -0.29 -0.27 -0.24 -0.24 -0.23 -0.24 -0.23 17012000 00
 -0.24 -0.24 -0.23 -0.25 -0.30 -0.32 -0.32 -0.31 -0.28 -0.27 -0.29 -0.30 17012000 12
 -0.28 -0.29 -0.29 -0.29 -0.31 -0.30 -0.29 -0.28 -0.27 -0.26 -0.27 -0.30 18012000 00
 -0.26 -0.25 -0.27 -0.26 -0.27 -0.32 -0.35 -0.34 -0.32 -0.27 -0.24 -0.25 18012000 12
